invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
71-491-3479,3583248759,Female,67,Home Goods,3,1029,Credit Card,01-07-2023,SM City Cebu
47-684-8062,8677380310,Female,77,Clothing,3,336,Debit,24-06-2021,SM City Fairview
32-261-8615,2716528713,Male,34,Pet Supplies,3,77,Debit,24-03-2023,SM City North EDSA
89-804-2427,9273151132,Female,59,Toys,3,671,Credit Card,02-02-2023,SM City Cebu
51-035-2602,6626385097,Female,48,Home Goods,1,1029,Credit Card,17-01-2023,SM Seaside City Cebu
54-981-3440,4503950304,Male,79,Books,5,359,Debit,06-09-2022,SM Mall of Asia
67-384-9426,7251946823,Female,68,Beauty,2,66,Credit Card,11-06-2022,SM City North EDSA
16-258-8739,3317983485,Female,19,Sports Equipment,1,939,Cash,13-03-2022,SM Mall of Asia
35-743-4271,1094090220,Female,23,Sports Equipment,1,1548,Cash,13-07-2023,SM Megamall
17-115-5273,7680515999,Female,25,Pet Supplies,2,1195,Credit Card,13-07-2023,SM City Cebu
83-192-5682,4320982568,Female,68,Electronics,5,1030,Cash,27-11-2021,SM Mall of Asia
35-964-8052,8243650687,Female,16,Home Goods,1,901,Cash,04-12-2023,SM Seaside City Cebu
26-977-7213,1817576690,Male,72,Food,2,975,Cash,11-05-2023,SM City Fairview
91-644-4583,8827715991,Male,74,Sports Equipment,3,1673,Debit,08-04-2023,SM City Cebu
80-417-5661,6647065652,Male,54,Pet Supplies,4,1907,Credit Card,25-02-2021,SM Mall of Asia
16-204-1360,9298363451,Female,23,Food,2,1386,Debit,06-08-2023,SM Seaside City Cebu
05-414-0451,2798053862,Male,61,Pet Supplies,3,1885,Cash,04-08-2022,SM City Fairview
66-925-5804,7097666412,Female,65,Electronics,5,1183,Cash,17-09-2022,SM Megamall
87-395-1614,4322282032,Female,32,Home Goods,2,969,Debit,29-11-2023,SM City Fairview
18-603-6514,1040288316,Female,41,Books,1,27,Credit Card,02-02-2022,SM City North EDSA
01-826-6189,8032132902,Female,22,Beauty,5,431,Debit,28-05-2021,SM Megamall
00-053-4802,1199610291,Female,46,Clothing,2,93,Cash,01-10-2021,SM Mall of Asia
32-039-8211,9595281808,Male,34,Food,2,511,Credit Card,20-04-2021,SM City North EDSA
94-959-8727,2900501415,Female,32,Books,4,510,Cash,05-12-2021,SM City North EDSA
23-253-2770,8747234008,Female,65,Beauty,2,783,Cash,14-08-2022,SM Seaside City Cebu
94-987-8203,9323873845,Female,68,Pet Supplies,1,118,Cash,26-09-2022,SM Mall of Asia
83-352-0797,6705531754,Male,76,Beauty,1,152,Debit,13-10-2023,SM Mall of Asia
